corp_code,기업명,사업연도,대사,신뢰도,사용보고서,본문무형자산,주석기말,합산표시,손상액,상각액
00260930,(주)에스엠엔터테인먼트,2015,성공,확정,원본,51079236655.0,51079237000.0,False,1400000.0,13960705000.0
00260930,(주)에스엠엔터테인먼트,2016,성공,확정,원본,37051350324.0,37051350000.0,False,0.0,13099051000.0
00260930,(주)에스엠엔터테인먼트,2017,성공,확정,원본,113495243827.0,113495244000.0,False,0.0,64360304000.0
00260930,(주)에스엠엔터테인먼트,2018,성공,확정,원본,186003342580.0,186003342000.0,False,799980000.0,75275566000.0
00260930,(주)에스엠엔터테인먼트,2019,성공,확정,원본,199278124787.0,199278125000.0,False,17011778000.0,103203813000.0
00260930,(주)에스엠엔터테인먼트,2020,성공,확정,원본,177933814020.0,177933814000.0,False,11968218000.0,166205811000.0
00260930,(주)에스엠엔터테인먼트,2021,성공,확정,정정,144813615831.0,144813616000.0,False,10506961000.0,174959850000.0
00260930,(주)에스엠엔터테인먼트,2022,성공,확정,정정,145107007512.0,145107008000.0,False,221066000.0,183729158000.0
00260930,(주)에스엠엔터테인먼트,2023,성공,확정,정정,203862069622.0,203862070000.0,False,58704825000.0,194813220000.0
00260930,(주)에스엠엔터테인먼트,2024,성공,확정,원본,140213032950.0,140213033000.0,False,85000000.0,134166492000.0
00260930,(주)에스엠엔터테인먼트,2025,성공,확정,원본,601394560770.0,601394560000.0,False,0.0,184416197000.0
00265324,(주)씨제이이엔엠,2015,성공,확정,원본,261194668095.0,261194668000.0,False,3352408000.0,116847837000.0
00265324,(주)씨제이이엔엠,2016,성공,확정,원본,225566535141.0,225566535000.0,False,0.0,98273988000.0
00265324,(주)씨제이이엔엠,2017,성공,확정,원본,950308850066.0,950308850000.0,False,0.0,78885070000.0
00265324,(주)씨제이이엔엠,2018,성공,확정,정정,1826952100677.0,1826952101000.0,False,42029594000.0,346172667000.0
00265324,(주)씨제이이엔엠,2019,성공,확정,원본,1037887243746.0,1037887244000.0,False,158516031000.0,542234473000.0
00265324,(주)씨제이이엔엠,2020,성공,확정,정정,1072075322205.0,1072075321000.0,False,53845675000.0,433189333000.0
00265324,(주)씨제이이엔엠,2021,성공,확정,원본,1321883482916.0,1321883483000.0,False,49602756000.0,452068575000.0
00265324,(주)씨제이이엔엠,2022,성공,확정,원본,2768359639821.0,2768359639000.0,False,117879852000.0,1219841378000.0
00265324,(주)씨제이이엔엠,2023,성공,확정,원본,2856928686941.0,2856928687000.0,False,186542009000.0,899110917000.0
00265324,(주)씨제이이엔엠,2024,성공,확정,원본,2663714667920.0,2663714668000.0,False,57801336000.0,1520744421000.0
00265324,(주)씨제이이엔엠,2025,성공,확정,원본,2321385044592.0,2321385045000.0,False,52696484000.0,1171757818000.0
00364795,(주)레드로버,2015,성공,확정,원본,2430261727.0,2430261727.0,False,1153788237.0,534535172.0
00364795,(주)레드로버,2016,성공,확정,원본,2222152538.0,2222152538.0,False,0.0,730693992.0
