corp_code,기업명,사업연도,재무제표,자산총계,부채총계,자본총계,무형자산,영업권,재고자산,매출액,영업이익,당기순이익,영업활동현금흐름,대사,신뢰도,합산표시,손상액,상각액,직전재무제표,기준전환,무형비중,무형비중_중앙값,적용대상,상태,업종,전기무형,전기매출,전기연도,3전무형,3전매출,3전연도,전환누적,전환누적_3전,무형_매출,무형_자산,무형_영업CF,유효상각률,영업이익률,발생액괴리,부채비율,자산로그,당기손상여부,증가괴리_1y,증가괴리_3y,무형_매출_상대,무형_자산_상대,유효상각률_상대,영업이익률_상대,연도_1,손상_1,무형_1,y_t1,연도_2,손상_2,무형_2,y_t2,y_2y
00353762,(주)키이스트,2023,OFS,83152932599.0,24552156363.0,58600776236.0,337472949.0,,,52023895531.0,-1475031245.0,-5389544597.0,-3235183093.0,성공,확정,False,0.0,81939000.0,OFS,False,0.0040584611805267,0.0074350227016543,True,사용가능,영상·방송프로그램 제작/배급/상영,349412096.0,62044179229.0,2022.0,54176542.0,48110630557.0,2020.0,1,0.0,0.006486883489893728,0.004058461180526764,,0.23858140629630392,-0.028352956462498243,-0.02590842483438652,0.41897322766036954,25.143947310742732,0,0.12733315399731554,,-0.198054959164889,-0.08182466361331715,0.10927621567359394,0.05545568719006244,2024.0,0.0,259525192.0,0.0,2025.0,0.0,433867190.0,0.0,0.0
00353762,(주)키이스트,2024,OFS,71448697174.0,29395792643.0,42052904531.0,259525192.0,,,75844854928.0,654372103.0,-10977869999.0,2434143989.0,성공,확정,False,0.0,77948000.0,OFS,False,0.0036323292413292,0.0074350227016543,True,사용가능,영상·방송프로그램 제작/배급/상영,337472949.0,52023895531.0,2023.0,120967406.0,46525413577.0,2021.0,1,0.0,0.0034217903409053774,0.0036323292413292674,0.10661866889255744,0.26113314145144045,0.008627771832660232,-0.18771530508579515,0.6990193179481907,24.99224550706227,0,-0.6888597913245726,,-0.28568568912088244,-0.11547709327906587,0.10204766069014642,0.16492491285589395,2025.0,0.0,433867190.0,0.0,,,,,0.0
00353762,(주)키이스트,2025,OFS,58354521218.0,19163918281.0,39190602937.0,433867190.0,,,15701782037.0,-3940417878.0,-2636286278.0,-6799466579.0,성공,확정,False,0.0,82925000.0,OFS,False,0.0074350227016543,0.0074350227016543,True,사용가능,영상·방송프로그램 제작/배급/상영,259525192.0,75844854928.0,2024.0,349412096.0,62044179229.0,2022.0,1,1.0,0.027631716513299348,0.007435022701654343,,0.23918636014088773,-0.2509535458277741,0.07134289193201071,0.48899268816574576,24.789802677133082,0,1.4647479150725062,0.9886320524638307,-0.19801388733614406,-0.09069747466564007,0.106500754704564,-0.13355506155671157,,,,,,,,,
00359474,(주)제이웨이,2015,CFS,8904595054.0,1800789753.0,7103805301.0,1728056880.0,,0.0,13815789138.0,537355445.0,156582565.0,2605384966.0,성공,확정,False,253003000.0,1687650000.0,,False,0.1940634997459818,0.1323667138819459,True,사용가능,영상·방송프로그램 제작/배급/상영,,,,,,,0,,0.12507840578190504,0.19406349974598183,0.663263549360636,,0.038894299821210836,-0.2750043529379792,0.25349649613095443,22.909833278650694,1,,,0.029104244367194,0.13356163346130934,,-0.01692902503131536,2016.0,400000000.0,1213441164.0,1.0,2019.0,0.0,3363352007.0,,1.0
00359474,(주)제이웨이,2016,CFS,10418151072.0,1253930643.0,9164220429.0,1213441164.0,,17600000.0,7477631226.0,-1047982517.0,-1623940743.0,1386423387.0,성공,확정,False,400000000.0,1559732000.0,CFS,False,0.1164737538948984,0.1323667138819459,True,사용가능,영상·방송프로그램 제작/배급/상영,1728056880.0,13815789138.0,2015.0,,,,0,,0.1622761443197172,0.1164737538948984,0.8752313148912569,1.0605018100770154,-0.1401489970989912,-0.2889537797249558,0.13682894826841577,23.066815417220138,1,0.16096169891521622,,0.10923896549962253,0.09157192208842616,0.776848999946476,-0.192980201736189,2019.0,0.0,3363352007.0,,2020.0,5345879000.0,2408864708.0,,
00359474,(주)제이웨이,2019,CFS,21075399394.0,8287974406.0,12787424988.0,3363352007.0,,604826277.0,11406518008.0,-1247158934.0,-3039307511.0,1018158431.0,성공,확정,False,0.0,1401415000.0,CFS,False,0.1595866319837108,0.1323667138819459,True,사용가능,영상·방송프로그램 제작/배급/상영,1213441164.0,7477631226.0,2016.0,,,,0,,0.29486228879322346,0.1595866319837108,3.3033680266209964,,-0.10933739228091349,-0.19252142586465662,0.6481347428256757,23.771372291734238,0,,,0.1895671797793781,0.11805742627203722,,-0.038420728646735874,2020.0,5345879000.0,2408864708.0,1.0,2021.0,566839000.0,225389000.0,1.0,1.0
00359474,(주)제이웨이,2020,CFS,17552968542.0,11783079073.0,5769889469.0,2408864708.0,,3584639750.0,11051473777.0,-7611689204.0,-16805565410.0,-4059977490.0,성공,확정,False,5345879000.0,975595000.0,CFS,False,0.1372340354986776,0.1323667138819459,True,사용가능,영상·방송프로그램 제작/배급/상영,3363352007.0,11406518008.0,2019.0,1728056880.0,13815789138.0,2015.0,0,0.0,0.2179677350375891,0.13723403549867766,,0.33803131385028046,-0.6887487911197168,-0.7261215041491641,2.0421672089746576,23.588488920246736,1,-0.2526640514153326,,0.05115460520991094,0.08721263843093473,0.08695772816914554,-0.6237540173987207,2021.0,566839000.0,225389000.0,1.0,2022.0,0.0,22000.0,0.0,1.0
00359474,(주)제이웨이,2021,CFS,3017670925.0,6366364818.0,-3348693893.0,225389000.0,,425644979.0,4975972330.0,-3811863516.0,-9429823840.0,-2187009625.0,성공,확정,False,566839000.0,49463000.0,CFS,False,0.0746897211795881,0.1323667138819459,True,사용가능,영상·방송프로그램 제작/배급/상영,2408864708.0,11051473777.0,2020.0,1213441164.0,7477631226.0,2016.0,0,0.0,0.04529546891592141,0.07468972117958819,,0.03755371006959972,-0.7660540017512517,-2.400133876426569,-1.9011486332949215,21.82775115390504,1,-0.35668770252074067,,-0.12124317293532391,0.022801131001807036,-0.1676550159797801,-0.6783331257773314,2022.0,0.0,22000.0,0.0,,,,,0.0
00359474,(주)제이웨이,2022,OFS,1104641719.0,5985718666.0,-4881076947.0,22000.0,,0.0,1390105992.0,-1468266254.0,-1256144325.0,-658471181.0,성공,확정,False,0.0,379000.0,CFS,True,1.9915959737530064e-05,0.1323667138819459,True,사용가능,영상·방송프로그램 제작/배급/상영,225389000.0,4975972330.0,2021.0,3363352007.0,11406518008.0,2019.0,1,0.0,1.5826131335746376e-05,1.9915959737530064e-05,,,-1.0562261168931066,-0.5410561032775913,-1.2263110643397936,20.82278688314111,0,,,-0.1863325442036092,-0.05092811431901207,,-0.9842588649250811,,,,,,,,,
00364467,(주)드림어스컴퍼니,2015,CFS,60433973516.0,12377051748.0,48056921768.0,5102906583.0,,16206224602.0,55637376029.0,302396995.0,635014720.0,-6893895398.0,성공,확정,False,0.0,1612000000.0,,False,0.0844377141881792,0.0844377141881792,True,사용가능,기타 방송·음원서비스,,,,,,,0,,0.09171724022966504,0.08443771418817922,,,0.005435141205120474,0.12458075615376685,0.2575498240971729,24.824817259187633,0,,,-0.01802267752708747,-0.00041378519307506967,,-0.049795574942688534,2016.0,410018000.0,4607322551.0,1.0,2017.0,1298853000.0,52843411928.0,0.0,1.0
