corp_code,기업명,종목코드,업종코드,구분,업종,보고연도수,최초,최종,연도목록
00260930,(주)에스엠엔터테인먼트,41510,59201,핵심,오디오물·음반,14,2011.0,2025.0,"2011,2012,2013,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025"
00265324,(주)씨제이이엔엠,35760,602,핵심,텔레비전 방송,11,2015.0,2025.0,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025"
00364795,(주)레드로버,60300,59112,핵심,영상·방송프로그램 제작/배급/상영,11,2015.0,2025.0,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025"
01204056,(주)하이브,352820,592,핵심,오디오물·음반,6,2020.0,2025.0,"2020,2021,2022,2023,2024,2025"
00299464,(주)초록뱀미디어,47820,59114,핵심,영상·방송프로그램 제작/배급/상영,11,2015.0,2025.0,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025"
00303873,씨제이씨지브이(주),79160,59141,핵심,영상·방송프로그램 제작/배급/상영,11,2015.0,2025.0,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025"
00397191,(주)팬엔터테인먼트,68050,59114,핵심,영상·방송프로그램 제작/배급/상영,11,2015.0,2025.0,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025"
01186404,주식회사 디앤씨미디어,263720,581,경계,출판(웹툰·웹소설 IP / 교육출판 혼재),9,2017.0,2025.0,"2017,2018,2019,2020,2021,2022,2023,2024,2025"
00223762,(주)케이티지니뮤직,43610,603,핵심,기타 방송·음원서비스,11,2015.0,2025.0,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025"
00301112,(주)삼화네트웍스,46390,59120,핵심,영상·방송프로그램 제작/배급/상영,11,2015.0,2025.0,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025"
00613318,(주)와이지엔터테인먼트,122870,59201,핵심,오디오물·음반,11,2015.0,2025.0,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025"
00370006,(주)아이엠비씨,52220,603,핵심,기타 방송·음원서비스,11,2015.0,2025.0,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025"
00303794,(주)쇼박스,86980,59130,핵심,영상·방송프로그램 제작/배급/상영,11,2015.0,2025.0,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025"
01168684,스튜디오드래곤(주),253450,59114,핵심,영상·방송프로그램 제작/배급/상영,9,2017.0,2025.0,"2017,2018,2019,2020,2021,2022,2023,2024,2025"
01605282,(주)닷밀,464580,591,핵심,영상·방송프로그램 제작/배급/상영,2,2024.0,2025.0,"2024,2025"
00259590,(주)바른손이앤에이,35620,591,핵심,영상·방송프로그램 제작/배급/상영,11,2015.0,2025.0,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025"
00203315,(주)콘텐트리중앙,36420,591,핵심,영상·방송프로그램 제작/배급/상영,11,2015.0,2025.0,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025"
00657987,(주)케이엑스이노베이션,122450,60221,핵심,텔레비전 방송,11,2015.0,2025.0,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025"
01046203,(주)로아앤코홀딩스,204630,901,핵심,창작·예술 서비스,11,2015.0,2025.0,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025"
00204642,(주)티비씨,33830,60210,핵심,텔레비전 방송,11,2015.0,2025.0,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025"
00208134,(주)케이엔엔,58400,60210,핵심,텔레비전 방송,11,2015.0,2025.0,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025"
01584934,(주)핑거스토리,417180,63991,경계,기타 정보서비스,4,2022.0,2025.0,"2022,2023,2024,2025"
00349097,(주)케이티스카이라이프,53210,60229,핵심,텔레비전 방송,11,2015.0,2025.0,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025"
00154426,(주)아이에이치큐,3560,591,핵심,영상·방송프로그램 제작/배급/상영,11,2015.0,2025.0,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025"
00146427,한주에이알티(주),58450,591,핵심,영상·방송프로그램 제작/배급/상영,11,2015.0,2025.0,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025"
00222532,(주)엘지헬로비전,37560,60222,핵심,텔레비전 방송,11,2015.0,2025.0,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025"
00814786,(주)티엔엔터테인먼트,131100,591,핵심,영상·방송프로그램 제작/배급/상영,11,2015.0,2025.0,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025"
01082418,(주)에스에이엠지엔터테인먼트,419530,59112,핵심,영상·방송프로그램 제작/배급/상영,4,2022.0,2025.0,"2022,2023,2024,2025"
00200275,(주)와이티엔,40300,591,핵심,영상·방송프로그램 제작/배급/상영,11,2015.0,2025.0,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025"
01276327,(주)위지윅스튜디오,299900,59120,핵심,영상·방송프로그램 제작/배급/상영,8,2018.0,2025.0,"2018,2019,2020,2021,2022,2023,2024,2025"
01508855,(주)블리츠웨이엔터테인먼트,369370,901,핵심,창작·예술 서비스,6,2020.0,2025.0,"2020,2021,2022,2023,2024,2025"
01138364,더핑크퐁컴퍼니(주),403850,591,핵심,영상·방송프로그램 제작/배급/상영,5,2021.0,2025.0,"2021,2022,2023,2024,2025"
00130772,(주)SBS,34120,60210,핵심,텔레비전 방송,11,2015.0,2025.0,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025"
00173449,(주)빌리언스,44480,901,핵심,창작·예술 서비스,11,2015.0,2025.0,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025"
00991225,(주)더콘텐츠온,302920,59130,핵심,영상·방송프로그램 제작/배급/상영,9,2017.0,2025.0,"2017,2018,2019,2020,2021,2022,2023,2024,2025"
01513699,주식회사 포바이포,389140,59113,핵심,영상·방송프로그램 제작/배급/상영,4,2022.0,2025.0,"2022,2023,2024,2025"
00990396,(주)레드우즈,266170,59114,핵심,영상·방송프로그램 제작/배급/상영,10,2016.0,2025.0,"2016,2017,2018,2019,2020,2021,2022,2023,2024,2025"
00608699,주식회사 탑코미디어,134580,631,경계,포털·콘텐츠 플랫폼,11,2015.0,2025.0,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025"
00364467,(주)드림어스컴퍼니,60570,603,핵심,기타 방송·음원서비스,11,2015.0,2025.0,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025"
01021949,(주)덱스터스튜디오,206560,59120,핵심,영상·방송프로그램 제작/배급/상영,11,2015.0,2025.0,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025"
01704680,(주)엠83,476080,59111,핵심,영상·방송프로그램 제작/배급/상영,2,2024.0,2025.0,"2024,2025"
01406265,주식회사 와이랩,432430,591,핵심,영상·방송프로그램 제작/배급/상영,3,2023.0,2025.0,"2023,2024,2025"
01264438,(주)자이언트스텝,289220,59113,핵심,영상·방송프로그램 제작/배급/상영,6,2020.0,2025.0,"2020,2021,2022,2023,2024,2025"
01703849,(주)노머스,473980,90199,핵심,창작·예술 서비스,2,2024.0,2025.0,"2024,2025"
01518506,(주)타조이엔터테인먼트,476710,901,핵심,창작·예술 서비스,3,2023.0,2025.0,"2023,2024,2025"
01364297,(주)코퍼스코리아,322780,591,핵심,영상·방송프로그램 제작/배급/상영,7,2019.0,2025.0,"2019,2020,2021,2022,2023,2024,2025"
00990819,(주)아티스트스튜디오,200350,591,핵심,영상·방송프로그램 제작/배급/상영,11,2015.0,2025.0,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025"
00231691,(주)판타지오,32800,901,핵심,창작·예술 서비스,11,2015.0,2025.0,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025"
00280688,스튜디오에스(주),46140,591,핵심,영상·방송프로그램 제작/배급/상영,9,2015.0,2023.0,"2015,2016,2017,2018,2019,2020,2021,2022,2023"
01467451,(주)케이티밀리의서재,418470,581,경계,출판(웹툰·웹소설 IP / 교육출판 혼재),3,2023.0,2025.0,"2023,2024,2025"
00145437,주식회사 아센디오,12170,591,핵심,영상·방송프로그램 제작/배급/상영,12,2014.0,2025.0,"2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025"
00140131,(주)키다리스튜디오,20120,631,경계,포털·콘텐츠 플랫폼,11,2015.0,2025.0,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025"
00543204,(주)아이오케이이엔엠,78860,591,핵심,영상·방송프로그램 제작/배급/상영,11,2015.0,2025.0,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025"
00550082,(주)캔버스엔,210120,59114,핵심,영상·방송프로그램 제작/배급/상영,11,2015.0,2025.0,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025"
01116502,(주)아티스트컴퍼니,321820,901,핵심,창작·예술 서비스,6,2020.0,2025.0,"2020,2021,2022,2023,2024,2025"
01267222,(주)에피소드컴퍼니,317530,59111,핵심,영상·방송프로그램 제작/배급/상영,7,2019.0,2025.0,"2019,2020,2021,2022,2023,2024,2025"
00985686,(주)큐브엔터테인먼트,182360,59201,핵심,오디오물·음반,11,2015.0,2025.0,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025"
00249441,(주)씨씨에스충북방송,66790,60222,핵심,텔레비전 방송,11,2015.0,2025.0,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025"
00263371,(주)한국경제티브이,39340,60221,핵심,텔레비전 방송,11,2015.0,2025.0,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025"
