corp_code,기업명,사업연도,재무제표,자산총계,부채총계,자본총계,무형자산,영업권,재고자산,매출액,영업이익,당기순이익,영업활동현금흐름,대사,신뢰도,합산표시,손상액,상각액,직전재무제표,기준전환,무형비중,무형비중_중앙값,적용대상,상태
00146427,한주에이알티(주),2016,OFS,40618251699.0,14875338532.0,25742913167.0,542750000.0,,1088330981.0,73896030890.0,2583500454.0,2078886924.0,7024067113.0,성공,확정,False,738968000.0,14250000.0,OFS,False,0.013362219625355323,0.11402515140681853,True,사용가능
00146427,한주에이알티(주),2017,OFS,32967781626.0,12060274918.0,20907506708.0,1063500000.0,,1776539010.0,42797946638.0,-3106233956.0,-4782792888.0,-6708378800.0,성공,확정,False,746968000.0,17250000.0,OFS,False,0.032258767425263214,0.11402515140681853,True,사용가능
00146427,한주에이알티(주),2018,OFS,34868729200.0,20986323268.0,13882405932.0,1055500000.0,,6630962333.0,28762212883.0,-4206325432.0,-11625465378.0,-7870809645.0,성공,확정,False,747968000.0,20250000.0,OFS,False,0.030270675881127324,0.11402515140681853,True,사용가능
00146427,한주에이알티(주),2019,CFS,43816892150.0,33186854355.0,10630037795.0,7640566674.0,,4349653471.0,30205986652.0,-4135867160.0,-3345564210.0,-1733470404.0,실패,,,,,OFS,True,0.17437491111518735,0.11402515140681853,True,주석대사실패
00146427,한주에이알티(주),2020,CFS,44644198924.0,28769665739.0,15874533185.0,24310525430.0,,24301801.0,8059053441.0,-1966424147.0,-8936023562.0,-10671796312.0,성공,확정,True,60247000.0,0.0,CFS,False,0.544539403011464,0.11402515140681853,True,상각손상합산
00146427,한주에이알티(주),2021,CFS,31045608117.0,18532375925.0,12513232192.0,4146871872.0,9108884568.0,97055356.0,5262263902.0,-4552727665.0,-4222413218.0,923036245.0,성공,확정,True,218510000.0,0.0,CFS,False,0.13357354303938565,0.11402515140681853,True,상각손상합산
00146427,한주에이알티(주),2022,CFS,19765113041.0,15236089997.0,4529023044.0,3480474874.0,7917765909.0,523338418.0,5581476636.0,-5607422546.0,-8015367436.0,-3685685191.0,성공,보통,True,1191119000.0,0.0,CFS,False,0.1760918273920435,0.11402515140681853,True,상각손상합산
00146427,한주에이알티(주),2023,CFS,38882847669.0,19780183812.0,19102663857.0,5140536258.0,8355942673.0,509154061.0,10500794559.0,-2928750062.0,-3195387807.0,-669595199.0,실패,,,,,CFS,False,0.1322057556524693,0.11402515140681853,True,주석대사실패
00146427,한주에이알티(주),2024,CFS,37285619002.0,16909126578.0,20376492424.0,4251498352.0,4712272710.0,17329838.0,14264269214.0,-6507549393.0,-10011720046.0,-2161857976.0,성공,확정,False,3643670000.0,466183000.0,CFS,False,0.11402515140681853,0.11402515140681853,True,사용가능
00146427,한주에이알티(주),2025,CFS,25319382564.0,15320580668.0,9998801896.0,711585799.0,3723320081.0,85145366.0,6286258658.0,-5991886693.0,-10455279127.0,-1034834211.0,실패,,,,,CFS,False,0.028104389876069016,0.11402515140681853,True,주석대사실패
00154426,(주)아이에이치큐,2015,CFS,255675961419.0,40636103741.0,215039857678.0,115209166741.0,,81672500.0,106178241906.0,7366385577.0,3821010058.0,34635244510.0,성공,확정,False,0.0,38421345000.0,,False,0.4506061739304307,0.11758303829659598,True,사용가능
00154426,(주)아이에이치큐,2016,CFS,256634714001.0,35076218333.0,221558495668.0,113268537687.0,,101538098.0,109404922575.0,11222960068.0,4223112975.0,42181532624.0,성공,확정,False,1168689000.0,37697225000.0,CFS,False,0.4413609364108031,0.11758303829659598,True,사용가능
